year,ftas_in_india_in_million_,percentage_change_over_previous_year,nris_arrivals_in_india_in_million_,ercentage_change_over_the_previous_year,international_tourist_arrivals_in_india_in_million_,percentage_change_over_the_previous_year
1981,1.28,2.0,,,,
1991,1.68,-1.7,,,,
2001,2.54,-4.2,,,,
2002,2.38,-6.0,,,,
2003,2.73,14.3,,,,
2004,3.46,26.8,,,,
2005,3.92,13.3,,,,
2006,4.45,13.5,,,,
2007,5.08,14.3,,,,
2008,5.28,4.0,,,,
2009,5.17,-2.2,,,,
2010,5.78,11.8,,,,
2011,6.31,9.2,,,,
2012,6.58,4.3,,,,
2013,6.97,5.9,,,,
2014,7.68,10.2,5.43,,13.11,
2015,8.03,4.5,5.74,5.7,13.76,5.0
2016,8.8,9.7,6.22,8.5,15.03,9.2
2017,10.04,14.0,6.77,8.8,16.81,11.8
2018,10.56,5.2,6.87,1.4,17.42,3.7
2019,10.93,3.5,6.98,1.7,17.91,2.8
2020,2.74,-74.9,3.59,-48.6,6.33,-64.7
