months,_2018,_2019,_2020,growth_2019_18_,growth_2020_19_
January,452236.0,440907.0,611702.0,-2.51,38.74
February,453298.0,402203.0,495109.0,-11.27,23.1
March,504091.0,484602.0,287681.0,-3.87,-40.64
April,496531.0,507704.0,233.0,2.25,-99.95
May,529423.0,618600.0,25760.0,16.84,-95.84
June,723338.0,668724.0,180956.0,-7.55,-72.94
July,774602.0,775580.0,284643.0,0.13,-63.3
August,685513.0,673569.0,270669.0,-1.74,-59.82
September,448040.0,489514.0,274391.0,9.26,-43.95
October,527386.0,624463.0,332214.0,18.41,-46.8
November,588362.0,606876.0,406941.0,3.15,-32.94
December,682624.0,690417.0,422057.0,1.14,-38.87
Total,6865444.0,6983159.0,3592356.0,1.71,-48.56
